Item.1,Item.2,Item.3,Item.4,Item.5,Item.6
4.461858227,3.986988128,4.957114053,6.431101303,6.980931693,5.85790394
6.219586053,4.054205976,5.638237192,2.651186185,3.347547843,3.888183406
4.430270104,4.719047368,5.457713881,3.430558364,3.791344469,5.305014676
4.986065742,6.458977406,5.261808403,4.095715027,3.269947946,3.218087125
4.796220754,4.736957337,3.677033377,4.66188316,6.412458395,5.201695476
6.542959562,4.837955613,4.354855905,5.297025207,5.134311089,4.653004198
6.005297764,4.770480305,5.252358642,5.514159333,4.480329145,4.790358356
4.695428555,4.237910732,4.019973142,4.999652398,6.659105279,5.840818455
3.205098435,4.118094052,4.403319965,2.78863514,5.288455233,6.276412499
3.061462997,5.027025924,4.20730538,3.622992353,6.243848221,6.461337108
3.858170648,3.573705219,5.003950473,3.918755782,5.279843863,4.083696056
5.505367227,4.851879725,5.939916774,5.955790173,5.359837547,6.431617739
6.012976826,5.213054341,5.109564291,5.403126063,4.833547788,5.73976163
3.823264748,4.031560009,3.775533514,3.961537832,4.361698559,4.686074045
4.980454964,6.310163516,5.286773849,5.389152971,6.228386521,5.046896616
2.324992115,4.287285824,4.081435424,4.573715389,5.30595086,4.348567472
4.476613986,4.396258938,6.195999251,4.326312296,4.360136893,3.989251257
6.746083654,6.519078163,5.680892161,4.558902421,4.843440648,5.517098038
5.137624353,5.875897379,6.058896355,5.571771729,6.354481077,5.488849892
5.748828049,4.858910876,5.898045682,5.075672388,4.752978756,4.692861024
5.492624529,6.432705129,5.220988338,6.080682603,5.494794152,5.708548918
5.12530433,4.418510854,3.316849181,4.662699007,4.675851534,5.275839624
4.695328239,6.786226723,5.340968504,7.337616933,4.768709595,6.207988974
5.386031343,5.059452535,5.032908111,4.584152727,6.157478784,4.506785181
4.308528421,5.197256488,5.161832548,5.649604411,3.906445708,5.421705295
5.87986571,4.376238849,5.417147791,4.829843296,3.984805873,4.23818425
4.937139843,5.797763463,5.086551656,7.357789839,6.108441629,5.047485684
4.860424727,4.869623914,4.797537829,4.132399294,4.774398788,5.084105844
4.468307205,5.53628061,4.255802414,2.626352977,4.055025737,3.387965743
4.319690382,8.684084166,6.990495011,3.340448657,3.167367108,2.749464323
6.838928821,5.898031838,6.756973429,5.023940489,5.966798453,5.086316292
4.009104906,5.768373487,4.768784239,5.296890066,5.782633265,5.986993075
5.541044582,5.349985808,5.835811217,6.000937445,4.390028155,4.979062137
6.546235022,7.224712991,5.341781772,6.929328357,5.776801343,6.900432586
5.232762284,4.016255159,3.210347554,2.798067257,2.076841384,4.155366224
4.769612991,4.146745278,4.886764928,5.460125244,5.145477174,6.461853555
5.315889031,4.757768142,5.052914543,4.518933813,6.66736126,5.56128187
5.393946462,3.96590868,3.424168053,4.161192726,5.644326964,6.052971178
5.138392116,6.992967727,5.588701886,6.26781131,4.88201518,5.251319086
6.991263409,6.551546095,6.169571743,4.431941932,5.265119682,3.9145447
6.440349302,5.700166447,6.845123812,4.934154465,5.323499749,5.005372581
5.713079839,5.915119513,5.120923173,4.039100175,4.390852246,4.088290515
4.224062761,5.523193148,5.525922478,5.456052613,4.545480719,5.592437336
5.650046733,6.300571738,6.372540432,3.295408005,4.532903993,6.566116496
4.212612878,4.413784144,3.803242607,3.917136389,4.186624891,4.820215406
6.714674468,5.211046949,5.979152189,3.614825818,4.256997737,5.795575843
5.100929001,3.755803569,5.380341334,5.38657964,5.888058538,6.643740069
4.614844523,3.001640298,4.332437528,6.201972521,6.143638735,5.18762861
6.267831071,6.179018974,6.328023609,4.760291554,5.580270443,5.667613465
6.37913902,4.850846433,5.508070233,4.937630313,5.046850389,4.90568977
5.971107144,5.993099842,5.944516191,5.039075438,7.023762064,5.168951245
4.535410196,4.414799174,3.774531922,4.897367374,4.014192865,4.610957192
5.882582997,7.165041521,6.647865361,3.767059071,6.439914561,4.52595239
5.0445047,5.259033705,5.13369726,5.458421261,4.067782551,4.355706469
3.436426774,4.79303978,3.086617158,4.695721373,4.995792286,4.788755956
5.477072376,3.965468113,4.828141968,6.537273,4.972881115,4.621998855
5.581154578,5.00576838,5.276755856,4.192985071,4.81540113,4.048261398
6.890805827,7.363976968,5.77991048,4.675840604,3.707744317,4.406783952
5.716422232,5.235031085,6.110062921,6.28328821,5.873508947,6.128735905
4.665688356,5.286805847,5.762099214,4.46290882,4.932508648,5.984097561
