person,location,height
1,West,169.5
2,West,167.38
3,West,165.91
4,West,158.6
5,West,173.5
6,West,176.46
7,West,165.7
8,West,168.04
9,West,166.58
10,West,173.49
11,West,173.31
12,West,172.39
13,West,166.92
14,West,170.64
15,West,177.29
16,West,171.24
17,West,158.51
18,West,173.71
19,West,175.44
20,West,165.18
21,East,172.29
22,East,169.73
23,East,165.64
24,East,157.71
25,East,173.52
26,East,178.78
27,East,167.39
28,East,170.11
29,East,168.34
30,East,172.62
31,East,173.53
32,East,172.79
33,East,170.56
34,East,170.95
35,East,179.16
36,East,169.51
37,East,161.21
38,East,176.88
39,East,176.78
40,East,166.47
