person,time,height
1,Before,168.04
2,Before,173.31
3,Before,165.95
4,Before,171.29
5,Before,171.86
6,Before,177.04
7,Before,173.71
8,Before,169.32
9,Before,175.5
10,Before,168.66
11,Before,173.16
12,Before,165.23
13,Before,178.57
14,Before,161.2
15,Before,168.58
16,Before,168.84
17,Before,164.9
18,Before,170.35
19,Before,165.09
20,Before,157.7
1,After,168.91
2,After,176.97
3,After,166.78
4,After,165.79
5,After,175.97
6,After,170.63
7,After,176.23
8,After,170.13
9,After,177.66
10,After,172.32
11,After,177.66
12,After,168.61
13,After,182.49
14,After,155.04
15,After,175.3
16,After,167.08
17,After,167.86
18,After,175.53
19,After,159.92
20,After,163.33
1,Later,161.67
2,Later,165.17
3,Later,172.39
4,Later,168.83
5,Later,172.25
6,Later,170.13
7,Later,166.38
8,Later,168.17
9,Later,171.86
10,Later,171.07
11,Later,173.62
12,Later,162.54
13,Later,170.71
14,Later,163.97
15,Later,160.95
16,Later,169.29
17,Later,160.27
18,Later,160.83
19,Later,155.9
20,Later,156.45
